instituion_city,institution_name,institution_state,institution_zipcode,transaction_date
menifee,mt san jacinto-menifee,ca,92584,
redwood city,canada college,ca,94061,
santa ana,santa ana college,ca,92706,
panama city,gulf coast state college,fl,32401-1041,
mount berry,berry college,ga,30149,
kahului maui,univ of hawaii maui college,hi,96732,
marion,indiana wesleyan u,in,46953,
newport,northern kentucky univ,ky,41099,
madison,north florida comm coll,fl,32340-1611,8/23/2017
dade city,pasco hernando st coll - east,fl,33525,8/23/2017
monticello,u of arkansas at monticello,ar,71655,8/23/2017
wesson,copiah-lincoln cc-wesson,ms,39191-0649,8/23/2017
bismarck,north dakota university system,nd,58505,8/23/2017
moberly,moberly area comm college,mo,65270-1304,8/23/2017
albuquerque,univ of new mexico,nm,87131,8/23/2017
spartanburg,spartanburg methodist coll,sc,29301,8/23/2017
long beach,cal state u - long beach,ca,90840,8/23/2017
nashville,belmont university,tn,37212-3758,8/23/2017
asheville,univ of nc - asheville,nc,28804-3024,8/23/2017
chattanooga,univ of tenn-chattanooga,tn,37403-2504,8/23/2017
kennesaw,kennesaw state university,ga,30144-5588,8/23/2017
greenville,east carolina univ,nc,27858,8/23/2017
san antonio,univ of texas - san antonio,tx,78249,8/23/2017
boise,boise state university,id,83725,8/23/2017
tulsa,tulsa comm coll-metro cmps,ok,74119,8/23/2017
winter haven,polk state coll - winter haven,fl,33881,8/23/2017
cedar falls,university of northern iowa,ia,50614-0012,8/23/2017
hillsboro,hill college - hillsboro campu,tx,76645,8/23/2017
charlotte,univ of nc - charlotte,nc,28223-0001,8/23/2017
baton rouge,louisiana state university,la,70803,8/23/2017
charlotte,ctrl piedmont cc - e 7th st,nc,28204-2019,8/23/2017
cedar rapids,kirkwood community college,ia,52404-5260,8/23/2017
chapel hill,univ of nc - chapel hill,nc,27599,8/23/2017
alexandria,no virginia cc - alexandria,va,22311,8/23/2017
fayetteville,fayetteville tech comm coll,nc,28303-4761,8/23/2017
coral gables,university of miami,fl,33146-2440,8/23/2017
chula vista,southwestern college,ca,91910,8/23/2017
boca raton,florida atlantic university,fl,33431-6424,8/23/2017
clemson,clemson university,sc,29634,8/23/2017
state university,arkansas state u-main,ar,72467,8/23/2017
raleigh,shaw university,nc,27601-2341,8/23/2017
san luis obispo,cuesta college,ca,93405,8/23/2017
archbold,northwest state c c,oh,43502-9517,8/23/2017
palatine,wm rainey harper college,il,60067-7373,8/23/2017
delaware,ohio wesleyan university,oh,43015-2333,8/23/2017
savannah,savannah technical college,ga,31405-5521,8/23/2017
springfield,missouri st univ-sprngfl,mo,65897-0027,8/23/2017
washington,howard university,dc,20059,8/23/2017
richmond,eastern kentucky university,ky,40475-3100,8/23/2017
london,kctcs-somerset-laurel north,ky,40741-6737,8/23/2017
west lafayette,purdue univ,in,47907,8/23/2017
caldwell,coll of western idaho,id,83605,8/23/2017
saint charles,st charles cty cmty college,mo,63301-4414,8/23/2017
arkadelphia,henderson state univ,ar,71999-0001,8/23/2017
davie,broward coll-central,fl,33314-1604,8/23/2017
lincoln,univ of nebraska - lincoln,ne,68588,8/23/2017
lexington,university of kentucky,ky,40506,8/23/2017
peoria,bradley university,il,61625-0001,8/23/2017
mankato,minnesota st univ-mankato,mn,56001,8/23/2017
evansville,univ of southern indiana,in,47712-3534,8/23/2017
mesquite,dallas cty comm coll,tx,75150,8/23/2017
notre dame,saint marys college - in,in,46556,8/23/2017
ridgecrest,cerro coso cmty college,ca,93555,8/23/2017
huntington,marshall university,wv,25755-0001,8/23/2017
louisville,university of louisville,ky,40292,8/23/2017
cleburn,hills college - cleburne,tx,76033,8/23/2017
troy,troy univ - main campus,al,36082,8/23/2017
springfield,ozarks tech comm college,mo,65802,8/23/2017
stockton,san joaquin delta college,ca,95207,8/23/2017
fullerton,cal state u - fullerton,ca,92831,8/23/2017
kirksville,truman state university,mo,63501-4200,8/23/2017
phoenix,phoenix college,az,85013,8/23/2017
sacramento,american river college,ca,95841,8/23/2017
houston,univ of houston,tx,77004,8/23/2017
pullman,washington state university,wa,99164,8/23/2017
