id,country,city,name,institution_stat,zipcode,date
1,usa,menifee,mt san jacinto-menifee,ca,92584,
2,usa,redwood city,canada college,ca,94061,
3,usa,santa ana,santa ana college,ca,92706,
4,usa,panama city,gulf coast state college,fl,32401-1041,
5,usa,mount berry,berry college,ga,30149,
6,usa,kahului maui,univ of hawaii maui college,hi,96732,
7,usa,marion,indiana wesleyan u,in,46953,
8,usa,newport,northern kentucky univ,ky,41099,
9,usa,madison,north florida comm coll,fl,32340-1611,8/23/2017
10,usa,dade city,pasco hernando st coll - east,fl,33525,8/23/2017
11,usa,monticello,u of arkansas at monticello,ar,71655,8/23/2017
12,usa,wesson,copiah-lincoln cc-wesson,ms,39191-0649,8/23/2017
13,usa,bismarck,north dakota university system,nd,58505,8/23/2017
14,usa,moberly,moberly area comm college,mo,65270-1304,8/23/2017
15,usa,albuquerque,univ of new mexico,nm,87131,8/23/2017
16,usa,spartanburg,spartanburg methodist coll,sc,29301,8/23/2017
17,usa,long beach,cal state u - long beach,ca,90840,8/23/2017
18,usa,nashville,belmont university,tn,37212-3758,8/23/2017
19,usa,asheville,univ of nc - asheville,nc,28804-3024,8/23/2017
20,usa,chattanooga,univ of tenn-chattanooga,tn,37403-2504,8/23/2017
21,usa,kennesaw,kennesaw state university,ga,30144-5588,8/23/2017
22,usa,greenville,east carolina univ,nc,27858,8/23/2017
23,usa,san antonio,univ of texas - san antonio,tx,78249,8/23/2017
24,usa,boise,boise state university,id,83725,8/23/2017
25,usa,tulsa,tulsa comm coll-metro cmps,ok,74119,8/23/2017
26,usa,winter haven,polk state coll - winter haven,fl,33881,8/23/2017
27,usa,cedar falls,university of northern iowa,ia,50614-0012,8/23/2017
28,usa,hillsboro,hill college - hillsboro campu,tx,76645,8/23/2017
29,usa,charlotte,univ of nc - charlotte,nc,28223-0001,8/23/2017
30,usa,baton rouge,louisiana state university,la,70803,8/23/2017
31,usa,charlotte,ctrl piedmont cc - e 7th st,nc,28204-2019,8/23/2017
32,usa,cedar rapids,kirkwood community college,ia,52404-5260,8/23/2017
33,usa,chapel hill,univ of nc - chapel hill,nc,27599,8/23/2017
34,usa,alexandria,no virginia cc - alexandria,va,22311,8/23/2017
35,usa,fayetteville,fayetteville tech comm coll,nc,28303-4761,8/23/2017
36,usa,coral gables,university of miami,fl,33146-2440,8/23/2017
37,usa,chula vista,southwestern college,ca,91910,8/23/2017
38,usa,boca raton,florida atlantic university,fl,33431-6424,8/23/2017
39,usa,clemson,clemson university,sc,29634,8/23/2017
40,usa,state university,arkansas state u-main,ar,72467,8/23/2017
41,usa,raleigh,shaw university,nc,27601-2341,8/23/2017
42,usa,san luis obispo,cuesta college,ca,93405,8/23/2017
43,usa,archbold,northwest state c c,oh,43502-9517,8/23/2017
44,usa,palatine,wm rainey harper college,il,60067-7373,8/23/2017
45,usa,delaware,ohio wesleyan university,oh,43015-2333,8/23/2017
46,usa,savannah,savannah technical college,ga,31405-5521,8/23/2017
47,usa,springfield,missouri st univ-sprngfl,mo,65897-0027,8/23/2017
48,usa,washington,howard university,dc,20059,8/23/2017
49,usa,richmond,eastern kentucky university,ky,40475-3100,8/23/2017
50,usa,london,kctcs-somerset-laurel north,ky,40741-6737,8/23/2017
51,usa,west lafayette,purdue univ,in,47907,8/23/2017
52,usa,caldwell,coll of western idaho,id,83605,8/23/2017
53,usa,saint charles,st charles cty cmty college,mo,63301-4414,8/23/2017
54,usa,arkadelphia,henderson state univ,ar,71999-0001,8/23/2017
55,usa,davie,broward coll-central,fl,33314-1604,8/23/2017
56,usa,lincoln,univ of nebraska - lincoln,ne,68588,8/23/2017
57,usa,lexington,university of kentucky,ky,40506,8/23/2017
58,usa,peoria,bradley university,il,61625-0001,8/23/2017
59,usa,mankato,minnesota st univ-mankato,mn,56001,8/23/2017
60,usa,evansville,univ of southern indiana,in,47712-3534,8/23/2017
61,usa,mesquite,dallas cty comm coll,tx,75150,8/23/2017
62,usa,notre dame,saint marys college - in,in,46556,8/23/2017
63,usa,ridgecrest,cerro coso cmty college,ca,93555,8/23/2017
64,usa,huntington,marshall university,wv,25755-0001,8/23/2017
65,usa,louisville,university of louisville,ky,40292,8/23/2017
66,usa,cleburn,hills college - cleburne,tx,76033,8/23/2017
67,usa,troy,troy univ - main campus,al,36082,8/23/2017
68,usa,springfield,ozarks tech comm college,mo,65802,8/23/2017
69,usa,stockton,san joaquin delta college,ca,95207,8/23/2017
70,usa,fullerton,cal state u - fullerton,ca,92831,8/23/2017
71,usa,kirksville,truman state university,mo,63501-4200,8/23/2017
72,usa,phoenix,phoenix college,az,85013,8/23/2017
73,usa,sacramento,american river college,ca,95841,8/23/2017
74,usa,houston,univ of houston,tx,77004,8/23/2017
75,usa,pullman,washington state university,wa,99164,8/23/2017
76,usa,charlottesville,university of virginia,va,22904,8/23/2017
77,usa,cedar bluff,vccs - southwest va cc,va,24609-9364,8/23/2017
78,usa,winona,winona state univ,mn,559875838,8/23/2017
79,usa,norfolk,northeast community college,ne,68701-6831,8/23/2017
80,usa,cincinnati,university of cincinnati,oh,45221-0001,8/23/2017
81,usa,huntsville,sam houston state univ,tx,77340,8/23/2017
82,usa,salem,corban university,or,97317-9392,8/23/2017
83,usa,so holland,south suburban college,il,60473,8/23/2017
84,usa,memphis,rhodes college,tn,38112-1624,8/23/2017
85,usa,bowling green,bowling green state univ,oh,43403,8/23/2017
86,usa,center valley,de sales university,pa,18034-9565,8/23/2017
87,usa,glen ellyn,college of dupage,il,60137-6708,8/23/2017
88,usa,rock hill,winthrop university,sc,29733-7001,8/23/2017
89,usa,clinton,presbyterian college,sc,29325-2865,8/23/2017
90,usa,bethlehem,northampton cmty coll,pa,18020-7568,8/23/2017
91,usa,tuscaloosa,univ of ala-tuscaloosa,al,35487,8/23/2017
92,usa,south charleston,bridgevalley ctc,wv,25303,8/23/2017
93,usa,gainesville,university of florida,fl,32611,8/23/2017
94,usa,columbia,univ of missouri-columbia,mo,65211,8/23/2017
95,usa,leesburg,lake sumter state college,fl,34788-3950,8/23/2017
96,usa,pleasant hill,diablo valley college,ca,94523,8/23/2017
97,usa,wichita,wichita state university,ks,67260-9700,8/23/2017
98,usa,fayetteville,u of arkansas-fayetteville,ar,72701,8/23/2017
99,usa,neosho,crowder college,mo,64850-9165,8/23/2017
100,usa,greenwood,lander university,sc,29649-2056,8/23/2017
101,usa,curtis,university of nebraska,ne,69025-9525,8/23/2017
102,usa,waleska,reinhardt college,ga,30183-2981,8/23/2017
103,usa,decatur,east central community coll,ms,39327-8985,8/23/2017
104,usa,springfield,wittenberg university,oh,45504-2534,8/23/2017
105,usa,mount olive,university of mount olive,nc,28365-1263,8/23/2017
106,usa,n charleston,trident tech coll,sc,29406-4607,8/23/2017
107,usa,coeur d alene,north idaho college,id,83814,8/23/2017
108,usa,pembroke pines,broward coll-south,fl,33024,8/23/2017
109,usa,turlock,cal state u - stanislaus,ca,95382,8/23/2017
110,usa,fresno,fresno city college,ca,93741,8/23/2017
111,usa,chico,butte college - chico,ca,95928,8/23/2017
112,usa,bakersfield,bakersfield college,ca,93305,8/23/2017
