id,vendors,name,city,website,fb_link,bike_brands,prodaja,servis,rent,note,eq_brands
,alanprim,Alan Prim Zagreb,Zagreb,http://www.alanprim.hr,https://www.facebook.com/pg/alanprimbikeshop/,,1,1,0,,Mavic
ChIJU-verXr6YUcRr_WF-A3E6bM,autohrvatska,Auto-Hrvatska,Zadar,http://www.autohrvatska.com/,,"Apache, Giant, Haibike, KTM, Rock Machine, Scott, Torpado, Winora",1,1,0,,
ChIJ6wKo_LmtaEcR9DqaBQwGmZo,beciklin,Beciklin,?akovec,http://www.prodaja-bicikla.com/,https://www.facebook.com/TrgovinaBeciklin,"Corratec, CTM, Kreidler, Trek, Fuji",1,1,0,,
ChIJqRyVat_qTRMR2og7IWI9kcM,bejkerajcg,BAJKERAJ,Podgorica,http://www.bajkeraj.me/,http://www.facebook.com/Bajkeraj/,"Cinzia, CTM, Cube, Itrike, Jumpertrek, Lombardo, MS, Orbea, Ridley",1,1,0,,
ChIJt-bITN_IWEcR4CkrzUt8hIo,beosport,Beosport,Sarajevo,http://www.beosport.com/,,"Specialized, Alpina, Carrera",1,1,0,,
ChIJufvusltlWkcRWg0o9v__g_o,beosport,Beosport,Beograd,http://www.beosport.com/,,"Specialized, Alpina, Carrera",1,1,0,,
ChIJof29NQIRW0cR6Bhy6zca5DI,beosport,Beosport,Novi Sad,http://www.beosport.com/,,"Specialized, Alpina, Carrera",1,1,0,,
ChIJv-hsRRfRUEcR_SdN6TjpkJ4,beosport,Beosport,Velika Plana,http://www.beosport.rs/,,"Specialized, Alpina, Carrera",1,1,0,,
ChIJ3VcjvBYhV0cRuQj8AN6Igfs,beosport,Beosport,Kragujevac,,,"Specialized, Alpina, Carrera",1,1,0,,
ChIJaw1HBmkQW0cRMSiyswCu0Yo,beosport,Beosport,Novi Sad,,,"Specialized, Alpina, Carrera",1,1,0,,
ChIJFxzxpx6mZEcRHCShTSl-rDA,biciklahr,Experience - bike-ski shop & service,Matulji,http://www.bicikla.hr/,https://www.facebook.com/bicikla.hr/,"Adriatica, Cube, GT, Jamis, Norco, Rocky Mountain, Scott, Specialized, Wheeler",1,1,0,,
ChIJ8fN01LLXZUcRVplPMYftPlg,biciklibiz,BICIKL BIZ d.o.o.,Zagreb,http://www.bicikl.biz/,,"Old&Bold, Esperia, Author, Genesis, Nishiki",1,1,0,,
ChIJRwzsYI9wWkcRjXAtZO4S9Jw,biciklicbg,Biciklic,Beograd,,,,1,1,0,,
ChIJDwkjYqOtaEcRx7CgPYqAyKM,biciklopedija,Bike Point Radoti?,?akovec,http://biciklopedija.hr/,https://www.facebook.com/Biciklopedija/,Megamo,1,1,0,,
ChIJr47kMgl4ZkcRRSabhGerYKc,bigsportzagreb,Mr. Big Sport,Zagreb,http://www.skije-bicikli.com/,,,1,1,0,,
ChIJ5ecP_Y1vWkcRb_iNOh0bis4,bikeland,Bikeland,Beograd,http://www.bikeland.rs/,https://www.facebook.com/Bikeland-DOO-1381187078816144/,"KTM, Cross, Capriolo, Scout, Visitor, Explorer",1,1,0,DODATI U PRETRAGU “Bikeland”,
ChIJ8ZNJpN4gV0cREuEPwmfWtdE,bikemvsport,SERVIS I PRODAJA BICIKLI ,BIKE MV SPORT,,,,,,,,
,bikeservis1,Bike Servis,Visoko,,https://www.facebook.com/Bike-Servis-Visoko-567272100053110/,,0,1,0,,
ChIJf09KZ_c9X0cRqdkFXLCk1_A,bikeservis2,Bike Servis,Fojnica,,,,0,1,0,,
ChIJq0cia9ewVUcRhNBhdwKMWVA,bikeservis3,Servis Bicikala `VEKTOR`,Niš,,,,0,1,0,,
ChIJ_5yeaxznXEcR3E8iLe3a-KU,bikeservis4,Bicycle Repair Shop,Osijek,,https://www.facebook.com/profile.php?id=100004149825761&fref=search,,0,1,0,,
ChIJhau8y0lVb0cRLbcO5sn38Pk,bikeservis5,Servis bicikala,Varaždin,,https://www.facebook.com/Majstor-Tihi-Servis-Bicikala-847826201932522/,,0,1,0,,
ChIJm1PQfgRxWkcRkA1xkwyE6MA,bikeservis6,Servis Bicikla Kruna,Beograd,,,,0,1,0,,
ChIJoWwbalkvNRMRy8uKuHklv5k,bikeservis7,SERVIS BICIKLA MILKOVIĆ,Šibenik,,,,0,1,0,,
