id,,name,city,website,
ChIJU-verXr6YUcRr_WF-A3E6bM,,Auto-Hrvatska,Zadar,http://www.autohrvatska.com/,
ChIJv383XTYsY0cRifl-axXkSPY,,B.R.B. sport Ltd.,Pula,http://www.brbsport.hr/,
ChIJqRyVat_qTRMR2og7IWI9kcM,,BAJKERAJ,Podgorica,http://www.bajkeraj.me/,
ChIJ6wKo_LmtaEcR9DqaBQwGmZo,,Beciklin,?akovec,http://www.prodaja-bicikla.com/,
ChIJt-bITN_IWEcR4CkrzUt8hIo,beosport,Beosport,Sarajevo,http://www.beosport.com/,
ChIJufvusltlWkcRWg0o9v__g_o,beosport,Beosport,Beograd,http://www.beosport.com/,
ChIJof29NQIRW0cR6Bhy6zca5DI,beosport,Beosport,Novi Sad,http://www.beosport.com/,
ChIJv-hsRRfRUEcR_SdN6TjpkJ4,beosport,Beosport,Velika Plana,http://www.beosport.rs/,
ChIJ3VcjvBYhV0cRuQj8AN6Igfs,beosport,Beosport,Kragujevac,,
ChIJaw1HBmkQW0cRMSiyswCu0Yo,beosport,Beosport,Novi Sad,,
ChIJ8fN01LLXZUcRVplPMYftPlg,,BICIKL BIZ d.o.o.,Zagreb,http://www.bicikl.biz/,
ChIJ84jBhMsRW0cRZ9lR-KEhu_k,,Bicikl Servis Nikic,Novi Sad,,
ChIJRwzsYI9wWkcRjXAtZO4S9Jw,,Biciklic,Beograd,,
ChIJE3NAUFbWZUcRrwfS5FaINbU,,bicycles BIM,Zagreb,http://www.bim-bike.hr/,
ChIJLcWVn6nnXEcRFRuei-mxpNA,,bicycles JAKOV?EVI?,Osijek,http://www.jakovcevic.hr/,
ChIJ11DJvtmqaEcR6Hstk_P_BLo,,Bike box,Varaûdin,http://www.matis.com.hr/,
ChIJ2cuGNyJeNRMRjJn0nOS5apg,,Bike Extremeshop2,Split,https://www.bicikla.com/,
ChIJGT6KwmLOfEcRjWgPGYG4SQE,,Bike Peroj,Peroj,http://www.bike-peroj.hr/,
ChIJDwkjYqOtaEcRx7CgPYqAyKM,,Bike Point Radoti?,?akovec,http://biciklopedija.hr/,
ChIJvbrvNBDnXEcRtqh13Pl0ifs,,Bikea Bike Shop,Osijek,,
ChIJ5ecP_Y1vWkcRb_iNOh0bis4,,Bikeland,Beograd,http://www.bikeland.rs/,
ChIJ1Uyq8iihZEcRQz5cCBoUo-k,,BIKEWISE shop & servis,Rijeka,http://www.bikewise.hr/,
ChIJN-OOgdMcX0cRs8byvAdCUxU,,Boca,Vitez,http://www.bocavitez.com/,
ChIJj8lXd9zIWEcR24mTA2Yc3E0,bogolivestrong,Bogolivestrong,Sarajevo,http://www.bogolivestrong.com/,
ChIJVx5QWiXTfEcRi8e67HXABrA,,BRAINSPOT d.o.o.,Pula,http://www.e-bike.com.hr/,
ChIJjSxcE2T6YUcRv-IKUmRKErY,,CALIMERO SPORT Rent-a-bike/bicycle service/spare parts/adventure tour,Zadar,http://www.calimero-sport.hr/,
ChIJz6KAeqFMWUcRh0tStYJ4t3M,capriolosc,Capriolo Sport Centar,éivinice Grad,http://www.jabihcapriolo.com/,
ChIJZTchyDCCXkcRrdwlXRUxAQI,capriolosc,Capriolo Sport Centar,Doboj,,
ChIJr5zLihADXkcR5aXEV_0993c,capriolosc,Capriolo Sport Centar BL2,Banja Luka,http://jabihcapriolo.com/,
ChIJM29t4AcDXkcRAvIsQloB7NI,capriolosc,Capriolo Sport Centar BL3,Banja Luka,http://jabihcapriolo.com/,
ChIJR63q0ks3XEcRelfe_qUXfws,capriolosc,Capriolo Sport Centar Modri?a,Modri?a,http://www.jabihcapriolo.com/,
ChIJa_eLpd_IWEcRamQ7brHzgzg,capriolosc,Capriolo Sport Centar SA1,Sarajevo,http://www.jabihcapriolo.com/,
ChIJBSkqlG3JWEcRYAbtx_X5Pgs,capriolosc,Capriolo Sport Centar SA2,Sarajevo,http://jabihcapriolo.com/,
ChIJSZCbEuRvWkcRw8xL_w90uBk,,Cici Bike - Servis Pirana,Beograd,,
ChIJyUSgg5fXZUcR2GOEKZBdRcI,,CIKLO - CENTAR d.o.o.,Zagreb,http://www.ciklo-centar.hr/,
ChIJK_ghhmzKWEcRiyldJxehwSE,ciklocentar,Ciklo Centar,Ilidûa,http://ciklocentar.ba/,
ChIJDWj5siDJWEcRolqo1j3MN4A,ciklocentar,Ciklo Centar,Sarajevo,http://www.ciklocentar.com/,
ChIJtSFBHaRDSxMR6yATw8pjOjE,ciklocentar,Ciklo centar,Mostar,http://ciklocentar.ba/,
ChIJU_BKtF_WZUcRYDAhCWlYRP8,,Ciklo-Sport,Zagreb,https://ciklo-sport.hr/,
ChIJidYSYmkQW0cRrlfu3FqJa_0,,Cikloteka,Novi Sad,https://www.facebook.com/cikloteka,
ChIJebCWfe1xWkcRZ4k5WBz_ZW8,,City-Bike,Beograd,http://www.citybike.rs/,
ChIJG2NwUHXtWUcRcDZzysMFRMQ,,Colnago Bike-Servis i prodaja bicikli i motora,Valjevo,,
ChIJp4gyPLl6WkcRGbsPLBCBVas,,CROSS BIKE,Beograd,http://www.crossbike.rs/,
ChIJUY6TNrYRW0cRiCIFGn14x8Q,,Cyclomania Bike Shop i Servis,Novi Sad,http://www.cyclomania.rs/,
ChIJ6zXfc03BhkcR5lGapVeICJo,decathlon,Decathlon,Milano,http://www.decathlon.it/it/store?store_id=PS_IT_25&rememberMe=off,
ChIJDdEJo_BhLxMRwbQ7f6mV88A,decathlon,Decathlon,Roma,http://www.decathlon.it/,
ChIJq-3R5MhnRUcRD1S96R1_wZk,decathlon,Decathlon,Timi»ôoara,http://www.decathlon.ro/,
ChIJu2jjGYbRZUcRN2qUtCimeOU,decathlon,Decathlon,Zagreb,http://www.decathlon.hr/,
ChIJg4Z-voT6YUcRJX0gj0X_dBc,decathlon,Decathlon,Zadar,http://decathlon.hr/,
ChIJsfxDuSFOqEcRjlq3N7lqggs,decathlon,Decathlon Berlin,Berlin,https://www.decathlon.de/,
ChIJ993Pp2kyZUcRFp27vU2hA6U,decathlon,Decathlon Ljubljana,Ljubljana,http://decathlon.si/,
ChIJx293yCXnXEcRil_GZpCkdno,decathlon,Decathlon Osijek,Osijek,http://decathlon.hr/,
ChIJY1x6KsumZEcRZT5THPsf8eg,decathlon,Decathlon Rijeka,Rijeka,http://decathlon.hr/,
ChIJZW_mcg3cQUcReEMdoJl9Ryo,decathlon,Decathlon Skala,Nyugati t√©r 1,http://www.decathlon.hu/,
ChIJQxOYTzSBqkARMFOhME4-we4,decathlon,Decathlon Vitosha,Sofia,http://www.decathlon.bg/,
ChIJZ3CQRIh4ZkcRjq5FDYYRiGM,decathlon,Decathlon Zagreb Istok,Zagreb,http://decathlon.hr/,
ChIJyS2_KCgTSxMR-KWy0lNbHow,,DOST d.o.o,Me?ugorje,http://www.dost.ba/,
ChIJsdqbPbHXZUcRbWyf2FU8-TE,,Drago-Sport,Zagreb,http://www.drago-sport.com/,
ChIJL_QbEtzWZUcRPu2qm4kjx-c,dsg,DSG bicikli,Zagreb,http://www.dsg.hr/,
ChIJk0qH_3PWZUcRqVbK2IivpLE,dsg,DSG SERVIS bicikala,Zagreb,http://www.dsg.hr/,
ChIJhR9Zr_RvWkcRCFAp8o9WmFw,,E prime electric bikes,Beograd,http://www.e-prime.net/,
ChIJFxzxpx6mZEcRHCShTSl-rDA,,Experience - bike-ski shop & service,Matulji,http://www.bicikla.hr/,
ChIJZ0p3BLznXEcRbfS-5M1D8zg,,Extreme Sport d.o.o,Osijek,http://www.extremesport.hr/,
