"id","country","city","name","state","zipcode","date","gname","gaddress","website"
"0","","","","","","","","",""
"1","usa","menifee","mt san jacinto-menifee","ca","92584","","Mt. San Jacinto College","28237 La Piedra Rd, Menifee, CA 92584, USA","http://www.msjc.edu/"
"2","usa","redwood city","canada college","ca","94061","","Cañada College","4200 Farm Hill Blvd, Redwood City, CA 94061, USA","https://www.canadacollege.edu/"
"3","usa","santa ana","santa ana college","ca","92706","","Santa Ana College","1530 W 17th St, Santa Ana, CA 92706, USA","http://www.sac.edu/"
"4","usa","panama city","gulf coast state college","fl","32401-1041","","Gulf Coast State College","5230 US-98, Panama City, FL 32401, USA","http://www.gulfcoast.edu/"
"5","usa","mount berry","berry college","ga","30149","","Berry College","2277 Martha Berry Hwy NW, Mt Berry, GA 30149, USA","http://www.berry.edu/"
"6","usa","kahului maui","univ of hawaii maui college","hi","96732","","University of Hawaii Maui College","310 W Kaahumanu Ave, Kahului, HI 96732, USA","http://maui.hawaii.edu/"
"7","usa","marion","indiana wesleyan u","in","46953","","Indiana Wesleyan University","4201 S Washington St, Marion, IN 46953, USA","http://www.indwes.edu/"
"8","usa","newport","northern kentucky univ","ky","41099","","Northern Kentucky University","Nunn Dr, Newport, KY 41099, USA","http://www.nku.edu/"
"9","usa","madison","north florida comm coll","fl","32340-1611","8/23/2017","North Florida Community College","325 Turner Davis Dr, Madison, FL 32340, USA","http://www.nfcc.edu/"
"10","usa","dade city","pasco hernando st coll - east","fl","33525","8/23/2017","Pasco-Hernando State College East Campus","36727 Blanton Rd, Dade City, FL 33523, USA","http://phsc.edu/"
"11","usa","monticello","u of arkansas at monticello","ar","71655","8/23/2017","University of Arkansas at Monticello","346 University Ct, Monticello, AR 71655, USA","http://www.uamont.edu/"
"12","usa","wesson","copiah-lincoln cc-wesson","ms","39191-0649","8/23/2017","Copiah-Lincoln Community College","1001 Copiah Lincoln Cir, Wesson, MS 39191, USA","http://www.colin.edu/"
"13","usa","bismarck","north dakota university system","nd","58505","8/23/2017","North Dakota University System","600 E Boulevard Ave # 10, Bismarck, ND 58505, USA","http://www.ndus.edu/"
"14","usa","moberly","moberly area comm college","mo","65270-1304","8/23/2017","Moberly Area Community College","101 College St, Moberly, MO 65270, USA","http://www.macc.edu/"
"15","usa","albuquerque","univ of new mexico","nm","87131","8/23/2017","The University of New Mexico","Albuquerque, NM 87131, USA","http://www.unm.edu/"
"16","usa","spartanburg","spartanburg methodist coll","sc","29301","8/23/2017","Spartanburg Methodist College","1000 Powell Mill Rd, Spartanburg, SC 29301, USA","http://www.smcsc.edu/"
"17","usa","long beach","cal state u - long beach","ca","90840","8/23/2017","California State University Long Beach","1250 Bellflower Blvd, Long Beach, CA 90840, USA","http://www.csulb.edu/"
"18","usa","nashville","belmont university","tn","37212-3758","8/23/2017","Belmont University","1900 Belmont Blvd, Nashville, TN 37212, USA","http://www.belmont.edu/"
"19","usa","asheville","univ of nc - asheville","nc","28804-3024","8/23/2017","University of North Carolina Asheville","1 University Heights, Asheville, NC 28804, USA","http://www.unca.edu/"
"20","usa","chattanooga","univ of tenn-chattanooga","tn","37403-2504","8/23/2017","The University of Tennessee at Chattanooga","615 McCallie Ave, Chattanooga, TN 37403, USA","http://www.utc.edu/"
"21","usa","kennesaw","kennesaw state university","ga","30144-5588","8/23/2017","Kennesaw State University","1000 Chastain Road, Kennesaw, GA 30144, USA","http://www.kennesaw.edu/"
"22","usa","greenville","east carolina univ","nc","27858","8/23/2017","East Carolina University","E 5th St, Greenville, NC 27858, USA","http://ecu.edu/"
"23","usa","san antonio","univ of texas - san antonio","tx","78249","8/23/2017","The University of Texas at San Antonio","1 UTSA Circle, San Antonio, TX 78249, USA","http://www.utsa.edu/"
"24","usa","boise","boise state university","id","83725","8/23/2017","Boise State University","1910 W University Dr, Boise, ID 83725, USA","https://boisestate.edu/"
"25","usa","tulsa","tulsa comm coll-metro cmps","ok","74119","8/23/2017","Tulsa Community College Metro Campus","909 S Boston Ave, Tulsa, OK 74119, USA","http://www.tulsacc.edu/campus-locations/metro-campus"
"26","usa","winter haven","polk state coll - winter haven","fl","33881","8/23/2017","Polk State College","999 Ave H NE, Winter Haven, FL 33881, USA","https://www.polk.edu/?utm_source=local&utm_medium=organic&utm_campaign=gmb"
"27","usa","cedar falls","university of northern iowa","ia","50614-0012","8/23/2017","University of Northern Iowa","1227 W 27th St, Cedar Falls, IA 50614, USA","http://www.uni.edu/"
"28","usa","hillsboro","hill college - hillsboro campu","tx","76645","8/23/2017","Hill College","209 W Westhill Dr, Cleburne, TX 76033, USA","http://hillcollege.edu/"
"29","usa","charlotte","univ of nc - charlotte","nc","28223-0001","8/23/2017","University of North Carolina at Charlotte","9201 University City Blvd, Charlotte, NC 28223, USA","http://www.uncc.edu/"
"30","usa","baton rouge","louisiana state university","la","70803","8/23/2017","Louisiana State University","Baton Rouge, LA 70803, USA","http://www.lsu.edu/"
"31","usa","charlotte","ctrl piedmont cc - e 7th st","nc","28204-2019","8/23/2017","Central Piedmont Community College Charlotte Cooks","425 N Kings Dr, Charlotte, NC 28204, USA","http://www.cpcc.edu/cce/personal-enrichment/charlotte-cooks?searchterm=charlotte+cooks"
"32","usa","cedar rapids","kirkwood community college","ia","52404-5260","8/23/2017","Kirkwood Community College","6301 Kirkwood Blvd SW, Cedar Rapids, IA 52404, USA","http://www.kirkwood.edu/"
"33","usa","chapel hill","univ of nc - chapel hill","nc","27599","8/23/2017","Graduate School at the University of North Carolina at Chapel Hill","200 Bynum Hall, 222 East Cameron Ave., CB# 4010, The University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA","http://gradschool.unc.edu/"
"34","usa","alexandria","no virginia cc - alexandria","va","22311","8/23/2017","Northern Virginia Community College - Alexandria Campus","5000 Dawes Ave, Alexandria, VA 22311, USA","https://www.nvcc.edu/alexandria/"
"35","usa","fayetteville","fayetteville tech comm coll","nc","28303-4761","8/23/2017","Fayetteville Technical Community College","2201 Hull Rd, Fayetteville, NC 28303, USA","http://www.faytechcc.edu/"
"36","usa","coral gables","university of miami","fl","33146-2440","8/23/2017","University of Miami School of Law","1311 Miller Rd, Coral Gables, FL 33146, USA","http://www.law.miami.edu/"
"37","usa","chula vista","southwestern college","ca","91910","8/23/2017","Southwestern College","900 Otay Lakes Rd, Chula Vista, CA 91910, USA","http://www.swccd.edu/"
"38","usa","boca raton","florida atlantic university","fl","33431-6424","8/23/2017","Florida Atlantic University","777 Glades Rd, Boca Raton, FL 33431, USA","http://www.fau.edu/"
"39","usa","clemson","clemson university","sc","29634","8/23/2017","Clemson University","Clemson, SC 29634, USA","http://clemson.edu/"
"40","usa","state university","arkansas state u-main","ar","72467","8/23/2017","Arkansas State University","2105 Aggie Rd, Jonesboro, AR 72401, USA","http://www.astate.edu/"
"41","usa","raleigh","shaw university","nc","27601-2341","8/23/2017","Shaw University Bookstore","118 E South St, Raleigh, NC 27601, USA","http://www.shawu.edu/"
"42","usa","san luis obispo","cuesta college","ca","93405","8/23/2017","Cuesta College","CA-1, San Luis Obispo, CA 93405, USA","http://www.cuesta.edu/"
"43","usa","archbold","northwest state c c","oh","43502-9517","8/23/2017","Northwest State Community College","22600 OH-34, Archbold, OH 43502, USA","http://northweststate.edu/"
"44","usa","palatine","wm rainey harper college","il","60067-7373","8/23/2017","Harper College","1200 W Algonquin Rd, Palatine, IL 60067, USA","http://www.harpercollege.edu/"
"45","usa","delaware","ohio wesleyan university","oh","43015-2333","8/23/2017","Ohio Wesleyan University","249 Park Ave, Delaware, OH 43015, USA","http://www.owu.edu/"
"46","usa","savannah","savannah technical college","ga","31405-5521","8/23/2017","Savannah Technical College","5717 White Bluff Rd, Savannah, GA 31405, USA","http://www.savannahtech.edu/"
"47","usa","springfield","missouri st univ-sprngfl","mo","65897-0027","8/23/2017","Missouri State University: University Communications","901 S National Ave, Springfield, MO 65897, USA","http://www.missouristate.edu/"
"48","usa","washington","howard university","dc","20059","8/23/2017","Howard University","2400 Sixth St NW, Washington, DC 20059, USA","http://www.howard.edu/"
"49","usa","richmond","eastern kentucky university","ky","40475-3100","8/23/2017","Eastern Kentucky University","521 Lancaster Ave, Richmond, KY 40475, USA","http://www.eku.edu/"
"50","usa","london","kctcs-somerset-laurel north","ky","40741-6737","8/23/2017","Somerset Community College - Laurel Campus North","100 University Dr, London, KY 40741, USA","http://somerset.kctcs.edu/"
"51","usa","west lafayette","purdue univ","in","47907","8/23/2017","Purdue University","610 Purdue Mall, West Lafayette, IN 47907, USA","http://www.purdue.edu/"
"52","usa","caldwell","coll of western idaho","id","83605","8/23/2017","The College of Idaho","2112 Cleveland Blvd, Caldwell, ID 83605, USA","http://www.collegeofidaho.edu/"
"53","usa","saint charles","st charles cty cmty college","mo","63301-4414","8/23/2017","St. Charles Community College","4601 Mid Rivers Mall Dr, Cottleville, MO 63376, USA","https://www.stchas.edu/"
"54","usa","arkadelphia","henderson state univ","ar","71999-0001","8/23/2017","Henderson State University","1100 Henderson St, Arkadelphia, AR 71999, USA","http://www.hsu.edu/"
"55","usa","davie","broward coll-central","fl","33314-1604","8/23/2017","Broward College - A. Hugh Adams Central Campus","3501 Davie Rd, Davie, FL 33314, USA","http://www.broward.edu/"
"56","usa","lincoln","univ of nebraska - lincoln","ne","68588","8/23/2017","University of Nebraska-Lincoln","1400 R St, Lincoln, NE 68588, USA","http://www.unl.edu/"
"57","usa","lexington","university of kentucky","ky","40506","8/23/2017","University of Kentucky","Lexington, KY 40506, USA","http://www.uky.edu/"
"58","usa","peoria","bradley university","il","61625-0001","8/23/2017","Cullom-Davis Library","1501 W Bradley Ave, Peoria, IL 61625, USA","http://library.bradley.edu/"
"59","usa","mankato","minnesota st univ-mankato","mn","56001","8/23/2017","Minnesota State University, Mankato","Mankato, MN 56001, USA","http://www.mnsu.edu/"
"60","usa","evansville","univ of southern indiana","in","47712-3534","8/23/2017","University of Southern Indiana","8600 University Blvd, Evansville, IN 47712, USA","http://www.usi.edu/"
"61","usa","mesquite","dallas cty comm coll","tx","75150","8/23/2017","Dallas County Community College District Service Center","4343 I-30 Frontage Rd, Mesquite, TX 75150, USA","http://www.dcccd.edu/"
"62","usa","notre dame","saint marys college - in","in","46556","8/23/2017","Saint Mary's College","149 Le Mans Hall St Mary S College, Notre Dame, IN 46556, USA","https://www.saintmarys.edu/"
