ID,ISO,NAME_0,HASC_1,ISONEW,Colony
11937,CHN,China,CN.SD,CHN,CHN
11938,CHN,China,CN.SD,CHN,CHN
12047,QAT,Qatar,QA.JB,QAT,QAT
12058,ROU,Romania,RO.BN,ROU,ROU
12059,ROU,Romania,RO.HR,ROU,ROU
12060,ROU,Romania,RO.MM,ROU,ROU
12061,ROU,Romania,RO.MS,ROU,ROU
12062,ROU,Romania,RO.NT,ROU,ROU
12065,GRC,Greece,GR.AT,GRC,GRC
12067,GRC,Greece,GR.PP,GRC,GRC
12070,GRC,Greece,GR.AN,GRC,GRC
12072,ITA,Italy,,ITA,ITA
12075,CHN,China,CN.SD,CHN,CHN
12078,CHN,China,CN.SD,CHN,CHN
12086,PER,Peru,PE.LO,PER,PER
12087,BGR,Bulgaria,BG.KY,BGR,BGR
12088,BIH,Bosnia and Herzegovina,BA.SR,BIH,BIH
12089,KO-,Kosovo,,KO-,KO-
12090,KO-,Kosovo,,KO-,KO-
12091,KO-,Kosovo,RS.KM,KO-,KO-
12092,KO-,Kosovo,RS.PE,KO-,KO-
12093,KO-,Kosovo,,KO-,KO-
12094,KO-,Kosovo,RS.PZ,KO-,KO-
12095,KO-,Kosovo,,KO-,KO-
12096,MKD,Macedonia,,MKD,MKD
12097,MKD,Macedonia,,MKD,MKD
12098,MKD,Macedonia,,MKD,MKD
12099,MNE,Montenegro,ME.BE,MNE,MNE
12100,MNE,Montenegro,ME.BP,MNE,MNE
12101,MNE,Montenegro,ME.PL,MNE,MNE
12102,MNE,Montenegro,ME.RO,MNE,MNE
12103,SRB,Serbia,RS.JA,SRB,SRB
12104,SRB,Serbia,RS.MR,SRB,SRB
12105,SRB,Serbia,RS.PC,SRB,SRB
12106,SRB,Serbia,RS.RS,SRB,SRB
12107,SRB,Serbia,RS.ZL,SRB,SRB
12108,AFG,Afghanistan,AF.BD,AFG,AFG
12109,AFG,Afghanistan,AF.BG,AFG,AFG
12110,AFG,Afghanistan,AF.BL,AFG,AFG
12111,AFG,Afghanistan,AF.BK,AFG,AFG
12112,AFG,Afghanistan,AF.BM,AFG,AFG
12113,AFG,Afghanistan,AF.FH,AFG,AFG
12114,AFG,Afghanistan,AF.FB,AFG,AFG
12115,AFG,Afghanistan,AF.GZ,AFG,AFG
12116,AFG,Afghanistan,AF.GR,AFG,AFG
12117,AFG,Afghanistan,AF.HM,AFG,AFG
12118,AFG,Afghanistan,AF.HR,AFG,AFG
12119,AFG,Afghanistan,AF.JW,AFG,AFG
12120,AFG,Afghanistan,AF.KB,AFG,AFG
12121,AFG,Afghanistan,AF.KD,AFG,AFG
12122,AFG,Afghanistan,AF.KP,AFG,AFG
12123,AFG,Afghanistan,AF.KT,AFG,AFG
12124,AFG,Afghanistan,AF.KR,AFG,AFG
12125,AFG,Afghanistan,AF.KZ,AFG,AFG
12126,AFG,Afghanistan,AF.LA,AFG,AFG
12127,AFG,Afghanistan,AF.LW,AFG,AFG
12128,AFG,Afghanistan,AF.NG,AFG,AFG
12129,AFG,Afghanistan,AF.NM,AFG,AFG
12130,AFG,Afghanistan,AF.NR,AFG,AFG
12131,AFG,Afghanistan,AF.PK,AFG,AFG
12132,AFG,Afghanistan,AF.PT,AFG,AFG
12133,AFG,Afghanistan,AF.PV,AFG,AFG
12134,AFG,Afghanistan,AF.SM,AFG,AFG
12135,AFG,Afghanistan,AF.SP,AFG,AFG
12136,AFG,Afghanistan,AF.TK,AFG,AFG
12137,AFG,Afghanistan,AF.OZ,AFG,AFG
12138,AFG,Afghanistan,AF.VR,AFG,AFG
12139,AFG,Afghanistan,AF.ZB,AFG,AFG
12140,AGO,Angola,AO.BO,AGO,AGO
12141,AGO,Angola,AO.BG,AGO,AGO
12142,AGO,Angola,AO.BI,AGO,AGO
12143,AGO,Angola,AO.CB,AGO,AGO
12144,AGO,Angola,AO.CC,AGO,AGO
12145,AGO,Angola,AO.CN,AGO,AGO
12146,AGO,Angola,AO.CS,AGO,AGO
12147,AGO,Angola,AO.CU,AGO,AGO
12148,AGO,Angola,AO.HM,AGO,AGO
12149,AGO,Angola,AO.HL,AGO,AGO
12150,AGO,Angola,AO.LU,AGO,AGO
12151,AGO,Angola,AO.LN,AGO,AGO
12152,AGO,Angola,AO.LS,AGO,AGO
12153,AGO,Angola,AO.ML,AGO,AGO
12154,AGO,Angola,AO.MX,AGO,AGO
12155,AGO,Angola,AO.NA,AGO,AGO
12156,AGO,Angola,AO.UI,AGO,AGO
12157,AGO,Angola,AO.ZA,AGO,AGO
12158,ALA,Ã…land,AX.BR,ALA,ALA
12159,ALA,Ã…land,AX.EC,ALA,ALA
12160,ALA,Ã…land,AX.FN,ALA,ALA
12161,ALA,Ã…land,AX.FG,ALA,ALA
12162,ALA,Ã…land,AX.GT,ALA,ALA
12163,ALA,Ã…land,AX.HM,ALA,ALA
12164,ALA,Ã…land,AX.JM,ALA,ALA
12165,ALA,Ã…land,AX.KK,ALA,ALA
12166,ALA,Ã…land,AX.KM,ALA,ALA
12167,ALA,Ã…land,AX.LE,ALA,ALA
12168,ALA,Ã…land,AX.LU,ALA,ALA
12169,ALA,Ã…land,AX.MH,ALA,ALA
12170,ALA,Ã…land,AX.SV,ALA,ALA
12171,ALA,Ã…land,AX.ST,ALA,ALA
12172,ALA,Ã…land,AX.SD,ALA,ALA
12173,ALA,Ã…land,AX.VR,ALA,ALA
12174,ALB,Albania,AL.BE,ALB,ALB
12175,ALB,Albania,AL.DB,ALB,ALB
12176,ALB,Albania,AL.DU,ALB,ALB
12177,ALB,Albania,AL.EB,ALB,ALB
12178,ALB,Albania,AL.FI,ALB,ALB
12179,ALB,Albania,AL.GK,ALB,ALB
12180,ALB,Albania,AL.KE,ALB,ALB
12181,ALB,Albania,AL.KK,ALB,ALB
12182,ALB,Albania,AL.LZ,ALB,ALB
12183,ALB,Albania,AL.SD,ALB,ALB
12184,ALB,Albania,AL.TI,ALB,ALB
12185,ALB,Albania,AL.VR,ALB,ALB
12186,AND,Andorra,AD.AN,AND,AND
12187,AND,Andorra,AD.CA,AND,AND
12188,AND,Andorra,AD.EN,AND,AND
12189,AND,Andorra,AD.EE,AND,AND
12190,AND,Andorra,AD.MA,AND,AND
12191,AND,Andorra,AD.OR,AND,AND
