ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
3077030,DEU,Germany,GER,Germany,,,,
3077034,CHE,Switzerland,CHE,Switzerland,,,,
3077035,CHE,Switzerland,CHE,Switzerland,,,,
3077036,FRA,France,GER,Germany,,,,
3077037,FRA,France,FRA,France,,,,
3077038,FRA,France,FRA,France,,,,
3077039,FRA,France,FRA,France,,,,
3077040,CHE,Switzerland,CHE,Switzerland,,,,
3077041,CHE,Switzerland,CHE,Switzerland,,,,
3077042,FRA,France,FRA,France,,,,
3077043,FRA,France,FRA,France,,,,
3077044,FRA,France,FRA,France,,,,
3077045,FRA,France,FRA,France,,,,
3077046,FRA,France,FRA,France,,,,
3077047,BGR,Bulgaria,BGR,Bulgaria,,,,
3077048,KO-,Kosovo,SRB,Serbia,-,,-,-
3077049,KO-,Kosovo,MNE,Montenegro,-,,-,-
3077050,MKD,Macedonia,SRB,Serbia,-,,-,-
3077051,MKD,Macedonia,SRB,Serbia,-,,-,-
3077052,MKD,Macedonia,SRB,Serbia,-,,-,-
3077053,SRB,Serbia,SRB,Serbia,-,,-,-
3077054,SRB,Serbia,SRB,Serbia,-,,-,-
3077055,BGR,Bulgaria,BGR,Bulgaria,,,,
3077057,KO-,Kosovo,SRB,Serbia,-,,-,-
3077058,MKD,Macedonia,SRB,Serbia,-,,-,-
3077059,MKD,Macedonia,SRB,Serbia,-,,-,-
3077060,MKD,Macedonia,SRB,Serbia,-,,-,-
3077061,MKD,Macedonia,SRB,Serbia,-,,-,-
3077062,MKD,Macedonia,SRB,Serbia,-,,-,-
3077063,MKD,Macedonia,SRB,Serbia,-,,-,-
3077064,MKD,Macedonia,SRB,Serbia,-,,-,-
3077066,SRB,Serbia,SRB,Serbia,-,,-,-
3077067,SRB,Serbia,SRB,Serbia,-,,-,-
3077068,SRB,Serbia,SRB,Serbia,-,,-,-
3077069,SRB,Serbia,SRB,Serbia,-,,-,-
3077070,SRB,Serbia,SRB,Serbia,-,,-,-
3077071,SRB,Serbia,SRB,Serbia,-,,-,-
3077072,BGR,Bulgaria,BGR,Bulgaria,,,,
3077073,BGR,Bulgaria,BGR,Bulgaria,,,,
3077074,BGR,Bulgaria,BGR,Bulgaria,,,,
3077075,GRC,Greece,GRC,Greece,,,,
3077077,EST,Estonia,RUS,Russia,,,,
3077078,EST,Estonia,RUS,Russia,,,,
3077079,EST,Estonia,RUS,Russia,,,,
3077080,EST,Estonia,RUS,Russia,,,,
3077081,RUS,Russia,RUS,Russia,,,,
3077082,RUS,Russia,RUS,Russia,,,,
3077083,RUS,Russia,RUS,Russia,,,,
3077084,RUS,Russia,RUS,Russia,,,,
3077085,RUS,Russia,RUS,Russia,,,,
3077086,RUS,Russia,RUS,Russia,,,,
3077087,RUS,Russia,RUS,Russia,,,,
3077088,RUS,Russia,RUS,Russia,,,,
3077089,RUS,Russia,RUS,Russia,,,,
3077092,RUS,Russia,RUS,Russia,,,,
3077093,RUS,Russia,RUS,Russia,,,,
3077095,RUS,Russia,RUS,Russia,,,,
3077097,UKR,Ukraine,RUS,Russia,,,,
3077098,UKR,Ukraine,RUS,Russia,,,,
3077099,UKR,Ukraine,RUS,Russia,,,,
3077100,UKR,Ukraine,RUS,Russia,,,,
3077101,UKR,Ukraine,RUS,Russia,,,,
3077102,UKR,Ukraine,RUS,Russia,,,,
3077103,BLR,Belarus,RUS,Russia,,,,
3077104,BLR,Belarus,RUS,Russia,,,,
3077105,RUS,Russia,RUS,Russia,,,,
3077108,BLR,Belarus,RUS,Russia,,,,
3077109,BLR,Belarus,RUS,Russia,,,,
3077110,LVA,Latvia,RUS,Russia,,,,
3077111,RUS,Russia,RUS,Russia,,,,
3077112,RUS,Russia,RUS,Russia,,,,
3077113,RUS,Russia,RUS,Russia,,,,
3077114,RUS,Russia,RUS,Russia,,,,
3077115,RUS,Russia,RUS,Russia,,,,
3077116,RUS,Russia,RUS,Russia,,,,
3077117,RUS,Russia,RUS,Russia,,,,
3077118,RUS,Russia,RUS,Russia,,,,
3077119,FRA,France,FRA,France,,,,
3077120,FRA,France,FRA,France,,,,
3077121,FRA,France,FRA,France,,,,
3077122,FRA,France,FRA,France,,,,
3077123,FRA,France,FRA,France,,,,
3077124,FRA,France,FRA,France,,,,
3077125,FRA,France,FRA,France,,,,
3077126,FRA,France,FRA,France,,,,
3077127,BEL,Belgium,BEL,Belgium,-,,-,-
3077128,BEL,Belgium,BEL,Belgium,-,,-,-
3077129,FRA,France,FRA,France,,,,
3077130,BEL,Belgium,BEL,Belgium,-,,-,-
3077131,BEL,Belgium,BEL,Belgium,-,,-,-
3077132,FRA,France,FRA,France,,,,
3077133,CHN,China,WEI-UK,Weihai (UK),UK,United Kingdom,WEI,UK
