Mb_Opcine,Geo_FIPS,name_bos,name_hrv,name_srb,name_eng,type_bos,type_hrv,type_srb,type_eng,parent_bos,parent_hrv,parent_srb,parent_eng
10014,10014,Banovići,Banovići,Бановићи,Banovići,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10049,10049,Bihać,Bihać,Бихаћ,Bihać,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10146,10146,Bosansko Grahovo,Bosansko Grahovo,Босанско Грахово,Bosansko Grahovo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10189,10189,Breza,Breza,Бреза,Breza,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10197,10197,Bugojno,Bugojno,Бугојно,Bugojno,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10219,10219,Busovača,Busovača,Бусовача,Busovača,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10227,10227,Cazin,Cazin,Цазин,Cazin,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10243,10243,Čapljina,Čapljina,Чапљина,Čapljina,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10260,10260,Čitluk,Čitluk,Читлук,Čitluk,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10294,10294,Donji Vakuf,Donji Vakuf,Доњи Вакуф,Donji Vakuf,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10308,10308,Tomislavgrad,Tomislavgrad,Томиславград,Tomislavgrad,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10324,10324,Fojnica,Fojnica,Фојница,Fojnica,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10359,10359,Glamoč,Glamoč,Гламоч,Glamoč,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10375,10375,Gornji Vakuf-Uskoplje,Gornji Vakuf-Uskoplje,Горњи Вакуф-Ускопље,Gornji Vakuf-Uskoplje,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10391,10391,Gradačac,Gradačac,Градачац,Gradačac,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10405,10405,Grude,Grude,Груде,Grude,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10421,10421,Jablanica,Jablanica,Јабланица,Jablanica,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10448,10448,Kakanj,Kakanj,Какањ,Kakanj,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10472,10472,Kiseljak,Kiseljak,Кисељак,Kiseljak,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10499,10499,Kladanj,Kladanj,Кладањ,Kladanj,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10529,10529,Konjic,Konjic,Коњиц,Konjic,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10545,10545,Kreševo,Kreševo,Крешево,Kreševo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10570,10570,Široki Brijeg,Široki Brijeg,Широки Бријег,Široki Brijeg,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10588,10588,Livno,Livno,Ливно,Livno,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10600,10600,Lukavac,Lukavac,Лукавац,Lukavac,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10626,10626,Ljubuški,Ljubuški,Љубушки,Ljubuški,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10634,10634,Maglaj,Maglaj,Маглај,Maglaj,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10685,10685,Neum,Neum,Неум,Neum,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10715,10715,Olovo,Olovo,Олово,Olovo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10731,10731,Posušje,Posušje,Посушје,Posušje,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10766,10766,Prozor,Prozor,Прозор,Prozor,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10774,10774,Novi Travnik,Novi Travnik,Нови Травник,Novi Travnik,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10839,10839,Centar Sarajevo,Centar Sarajevo,Центар-Сарајево,Centar Sarajevo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10847,10847,Hadžići,Hadžići,Хаџићи,Hadžići,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10863,10863,Ilijaš,Ilijaš,Илијаш,Ilijaš,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10871,10871,Novi Grad Sarajevo,Novi Grad Sarajevo,Нови Град Сарајево,Novi Grad Sarajevo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10928,10928,Vogošća,Vogošća,Вогошћа,Vogošća,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
10987,10987,Srebrenik,Srebrenik,Сребреник,Srebrenik,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11045,11045,Tešanj,Tešanj,Тешањ,Tešanj,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11061,11061,Travnik,Travnik,Травник,Travnik,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11088,11088,Tuzla,Tuzla,Тузла,Tuzla,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11100,11100,Vareš,Vareš,Вареш,Vareš,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11118,11118,Velika Kladuša,Velika Kladuša,Велика Кладуша,Velika Kladuša,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11126,11126,Visoko,Visoko,Високо,Visoko,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11142,11142,Vitez,Vitez,Витез,Vitez,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11177,11177,Zavidovići,Zavidovići,Завидовићи,Zavidovići,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11185,11185,Zenica,Zenica,Зеница,Zenica,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11207,11207,Žepče,Žepče,Жепче,Žepče,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11215,11215,Živinice,Živinice,Живинице,Živinice,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11231,11231,Čelić,Čelić,Челић,Čelić,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11240,11240,Bužim,Bužim,Бужим,Bužim,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11258,11258,Doboj-Istok,Doboj-Istok,Добој-Исток,Doboj-Istok,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11266,11266,Doboj-Jug,Doboj-Jug,Добој-Југ,Doboj-Jug,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11274,11274,Dobretići,Dobretići,Добретићи,Dobretići,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11282,11282,Domaljevac-Šamac,Domaljevac-Šamac,Домаљевац-Шамац,Domaljevac-Šamac,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11304,11304,Ravno,Ravno,Равно,Ravno,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11312,11312,Sapna,Sapna,Сапна,Sapna,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11339,11339,Teočak,Teočak,Теочак,Teočak,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11410,11410,Grad Mostar,Grad Mostar,Град Мостар,Grad Mostar,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11428,11428,Bosanska Krupa,Bosanska Krupa,Босанска Крупа,Bosanska Krupa,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11436,11436,Bosanski Petrovac,Bosanski Petrovac,Босански Петровац,Bosanski Petrovac,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11444,11444,Foča - FBiH,Foča - FBiH,Фоча - ФБиХ,Foča - FBiH,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11452,11452,Goražde,Goražde,Горажде,Goražde,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11479,11479,Gračanica,Gračanica,Грачаница,Gračanica,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11487,11487,Jajce,Jajce,Јајце,Jajce,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11495,11495,Kalesija,Kalesija,Калесија,Kalesija,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11509,11509,Ključ,Ključ,Кључ,Ključ,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11517,11517,Kupres - FBiH,Kupres - FBiH,Купрес - ФБиХ,Kupres - FBiH,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11525,11525,Odžak,Odžak,Оџак,Odžak,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11533,11533,Orašje,Orašje,Орашје,Orašje,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11541,11541,Sanski Most,Sanski Most,Сански Мост,Sanski Most,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11550,11550,Ilidža,Ilidža,Илиџа,Ilidža,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11568,11568,Novo Sarajevo,Novo Sarajevo,Ново Сарајево,Novo Sarajevo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11576,11576,Pale - FBiH,Pale - FBiH,Пале - ФБиХ,Pale - FBiH,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11584,11584,Stari Grad Sarajevo,Stari Grad Sarajevo,Стари Град Сарајево,Stari Grad Sarajevo,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11592,11592,Trnovo - FBiH,Trnovo - FBiH,Трново - ФБиХ,Trnovo - FBiH,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
11606,11606,Stolac,Stolac,Столац,Stolac,Općina,Općina,Општина,Municipality,FBiH,FBiH,ФбиХ,FBiH
