ID,ISO,Name,NEWISO,NEWNAME,ISOCOLONY,COLONYNAME,SIDE1,SIDE2
1,DEU,Breisgau-Hochschwarzwald,DEU,Breisgau-Hochschwarzwald,DEU,,,
2,DEU,Emmendingen,DEU,Emmendingen,DEU,,,
3,DEU,Freiburg,DEU,Freiburg,DEU,,,
4,DEU,Konstanz,DEU,Konstanz,DEU,,,
5,DEU,Lörrach,DEU,Lörrach,DEU,,,
6,DEU,Ortenaukreis,DEU,Ortenaukreis,DEU,,,
7,DEU,Rottweil,DEU,Rottweil,DEU,,,
8,DEU,Schwarzwald-Baar-Kreis,DEU,Schwarzwald-Baar-Kreis,DEU,,,
9,DEU,Tuttlingen,DEU,Tuttlingen,DEU,,,
10,DEU,Waldshut,DEU,Waldshut,DEU,,,
11,DEU,Baden-Baden Städte,DEU,Baden-Baden Städte,DEU,,,
12,DEU,Calw,DEU,Calw,DEU,,,
13,DEU,Enz,DEU,Enz,DEU,,,
14,DEU,Freudenstadt,DEU,Freudenstadt,DEU,,,
15,DEU,Heidelberg Städte,DEU,Heidelberg Städte,DEU,,,
16,DEU,Karlsruhe Städte,DEU,Karlsruhe Städte,DEU,,,
17,DEU,Karlsruhe,DEU,Karlsruhe,DEU,,,
18,DEU,Mannheim Städte,DEU,Mannheim Städte,DEU,,,
19,DEU,Neckar-Odenwald-Kreis,DEU,Neckar-Odenwald-Kreis,DEU,,,
20,DEU,Pforzheim Städte,DEU,Pforzheim Städte,DEU,,,
21,DEU,Rastatt,DEU,Rastatt,DEU,,,
22,DEU,Rhein-Neckar-Kreis,DEU,Rhein-Neckar-Kreis,DEU,,,
23,DEU,Böblingen,DEU,Böblingen,DEU,,,
24,DEU,Esslingen,DEU,Esslingen,DEU,,,
25,DEU,Göppingen,DEU,Göppingen,DEU,,,
26,DEU,Heidenheim,DEU,Heidenheim,DEU,,,
27,DEU,Heilbronn city Städte,DEU,Heilbronn city Städte,DEU,,,
28,DEU,Heilbronn,DEU,Heilbronn,DEU,,,
29,DEU,Hohenlohe,DEU,Hohenlohe,DEU,,,
30,DEU,Ludwigsburg,DEU,Ludwigsburg,DEU,,,
31,DEU,Main-Tauber,DEU,Main-Tauber,DEU,,,
32,DEU,Ostalbkreis,DEU,Ostalbkreis,DEU,,,
33,DEU,Rems-Murr-Kreis,DEU,Rems-Murr-Kreis,DEU,,,
34,DEU,Schwäbisch Hall,DEU,Schwäbisch Hall,DEU,,,
