ID,ISO,NAME_0,HASC_1,ISONEW,Colony
3077030,DEU,Germany,DE.HE,DEU,DEU
3077034,CHE,Switzerland,CH.BE,CHE,CHE
3077035,CHE,Switzerland,CH.JU,CHE,CHE
3077036,FRA,France,,FRA,FRA
3077037,FRA,France,,FRA,FRA
3077038,FRA,France,,FRA,FRA
3077039,FRA,France,,FRA,FRA
3077040,CHE,Switzerland,CH.BE,CHE,CHE
3077041,CHE,Switzerland,CH.JU,CHE,CHE
3077042,FRA,France,,FRA,FRA
3077043,FRA,France,,FRA,FRA
3077044,FRA,France,,FRA,FRA
3077045,FRA,France,,FRA,FRA
3077046,FRA,France,,FRA,FRA
3077047,BGR,Bulgaria,BG.KY,BGR,BGR
3077048,KO-,Kosovo,,SRB,KO-
3077049,KO-,Kosovo,,KO-,KO-
3077050,MKD,Macedonia,,SRB,MKD
3077051,MKD,Macedonia,,SRB,MKD
3077052,MKD,Macedonia,,SRB,MKD
3077053,SRB,Serbia,RS.JA,AUH,SRB
3077054,SRB,Serbia,RS.PC,SRB,SRB
3077055,BGR,Bulgaria,BG.MT,BGR,BGR
3077057,KO-,Kosovo,,SRB,KO-
3077058,MKD,Macedonia,,SRB,MKD
3077059,MKD,Macedonia,,SRB,MKD
3077060,MKD,Macedonia,,SRB,MKD
3077061,MKD,Macedonia,,SRB,MKD
3077062,MKD,Macedonia,,SRB,MKD
3077063,MKD,Macedonia,,SRB,MKD
3077064,MKD,Macedonia,,SRB,MKD
3077066,SRB,Serbia,RS.BO,SRB,SRB
3077067,SRB,Serbia,RS.JA,SRB,SRB
3077068,SRB,Serbia,RS.NS,SRB,SRB
3077069,SRB,Serbia,RS.PC,SRB,SRB
3077070,SRB,Serbia,RS.PI,SRB,SRB
3077071,SRB,Serbia,RS.ZJ,SRB,SRB
3077072,BGR,Bulgaria,BG.KY,BGR,BGR
3077073,BGR,Bulgaria,BG.PN,BGR,BGR
3077074,BGR,Bulgaria,BG.SF,BGR,BGR
3077075,GRC,Greece,GR.MW,GRC,GRC
3077077,EST,Estonia,EE.IV,EST,EST
3077078,EST,Estonia,EE.JN,EST,EST
3077079,EST,Estonia,EE.PL,EST,EST
3077080,EST,Estonia,EE.TA,EST,EST
3077081,RUS,Russia,RU.BL,RUS,RUS
3077082,RUS,Russia,RU.BR,RUS,RUS
3077083,RUS,Russia,RU.KG,RUS,RUS
3077084,RUS,Russia,RU.KD,RUS,RUS
3077085,RUS,Russia,RU.KS,RUS,RUS
3077086,RUS,Russia,RU.LP,RUS,RUS
3077087,RUS,Russia,RU.MS,RUS,RUS
3077088,RUS,Russia,RU.NG,RUS,RUS
3077089,RUS,Russia,RU.OL,RUS,RUS
3077092,RUS,Russia,RU.TL,RUS,RUS
3077093,RUS,Russia,RU.TV,RUS,RUS
3077095,RUS,Russia,RU.VR,RUS,RUS
3077097,UKR,Ukraine,UA.DT,UKR,UKR
3077098,UKR,Ukraine,UA.KK,UKR,UKR
3077099,UKR,Ukraine,UA.KV,UKR,UKR
3077100,UKR,Ukraine,UA.LH,UKR,UKR
3077101,UKR,Ukraine,UA.PL,UKR,UKR
3077102,UKR,Ukraine,UA.SM,UKR,UKR
3077103,BLR,Belarus,BY.MA,BLR,BLR
3077104,BLR,Belarus,BY.MI,BLR,BLR
3077105,RUS,Russia,RU.PS,RUS,RUS
3077108,BLR,Belarus,BY.MI,BLR,BLR
3077109,BLR,Belarus,BY.VI,BLR,BLR
3077110,LVA,Latvia,L,LVA,LVA
3077111,RUS,Russia,RU.LN,RUS,RUS
3077112,RUS,Russia,RU.LN,RUS,RUS
3077113,RUS,Russia,RU.LN,RUS,RUS
3077114,RUS,Russia,RU.LN,RUS,RUS
3077115,RUS,Russia,RU.LN,RUS,RUS
3077116,RUS,Russia,RU.LN,RUS,RUS
3077117,RUS,Russia,RU.LN,RUS,RUS
3077118,RUS,Russia,RU.PS,RUS,RUS
3077119,FRA,France,,FRA,FRA
3077120,FRA,France,,FRA,FRA
3077121,FRA,France,,FRA,FRA
3077122,FRA,France,,FRA,FRA
3077123,FRA,France,,FRA,FRA
3077124,FRA,France,,FRA,FRA
3077125,FRA,France,,FRA,FRA
3077126,FRA,France,,FRA,FRA
3077127,BEL,Belgium,BE.HT,BEL,BEL
3077128,BEL,Belgium,BE.WV,BEL,BEL
3077129,FRA,France,,FRA,FRA
3077130,BEL,Belgium,BE.HT,BEL,BEL
3077131,BEL,Belgium,BE.WV,BEL,BEL
3077132,FRA,France,,FRA,FRA
