ID, ID2, Geo_FIPS, Geo_Qname, DN
3077030, DEU, DEU, Germany, GER
3077034, CHE, CHE, Switzerland, CHE
3077035, CHE, CHE, Switzerland, CHE
3077036, FRA, FRA, France, FRA-GER
3077037, FRA, FRA, France, FRA
3077038, FRA, FRA, France, FRA
3077039, FRA, FRA, France, BEL-GER
3077040, CHE, CHE, Switzerland, CHE
3077041, CHE, CHE, Switzerland, CHE
3077042, FRA, FRA, France, FRA
3077043, FRA, FRA, France, FRA
3077044, FRA, FRA, France, FRA
3077045, FRA, FRA, France, FRA
3077046, FRA, FRA, France, FRA
3077047, BGR, BGR, Bulgaria, BGR
3077048, KO-, KO-, Kosovo, SRB-1
3077049, KO-, KO-, Kosovo, MNE
3077050, MKD, MKD, Macedonia, SRB-1
3077051, MKD, MKD, Macedonia, SRB-1
3077052, MKD, MKD, Macedonia, SRB-1
3077053, SRB, SRB, Serbia, SRB
3077054, SRB, SRB, Serbia, SRB-1
3077055, BGR, BGR, Bulgaria, BGR
3077057, KO-, KO-, Kosovo, SRB-1
3077058, MKD, MKD, Macedonia, SRB-1
3077059, MKD, MKD, Macedonia, SRB-1
3077060, MKD, MKD, Macedonia, SRB-1
3077061, MKD, MKD, Macedonia, SRB
3077062, MKD, MKD, Macedonia, SRB-1
3077063, MKD, MKD, Macedonia, SRB-1
3077064, MKD, MKD, Macedonia, SRB-1
3077066, SRB, SRB, Serbia, SRB
3077067, SRB, SRB, Serbia, SRB-1
3077068, SRB, SRB, Serbia, SRB-1
3077069, SRB, SRB, Serbia, SRB-1
3077070, SRB, SRB, Serbia, SRB-1
3077071, SRB, SRB, Serbia, SRB-1
3077072, BGR, BGR, Bulgaria, BGR
3077073, BGR, BGR, Bulgaria, BGR
3077074, BGR, BGR, Bulgaria, BGR
3077075, GRC, GRC, Greece, GRC
3077077, EST, EST, Estonia, RUS
3077078, EST, EST, Estonia, RUS
3077079, EST, EST, Estonia, RUS
3077080, EST, EST, Estonia, RUS
3077081, RUS, RUS, Russia, RUS
3077082, RUS, RUS, Russia, RUS
3077083, RUS, RUS, Russia, RUS
